,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
6,6,13761071,20241221052002,Central flat near Alex with fiber optic Internet,"This light and clean apartment is located in a tranquil area in the heart of Berlin. Conveniently situated for transport connections, close to Alexanderplatz. Modern, comfortable furnishings. Private parking spaces at the building (requires a reservation). The apartment has super-fast fibre optic broadband Wifi. Linen, bath and hand towels, skin-friendly soap, and green electricity included. There are no additional charges.<br /><br />We love families - children up to 12 years are free of charge.",80675177,Sven,t,2.0,2.0,t,t,52.51024,13.41684,Entire serviced apartment,Entire home/apt,6,1.0,3.0,4.0,$224.00,60,3,6,1125,1125,5.0,1125.0,,t,6,25,55,237,358,59,5,4.86,4.89,4.9,4.96,4.96,4.79,4.73,01/Z/NA/004162-16,f,2,2,0,0,3.49
19,19,43466772,20241221052002,Myhappyplace two in the middle of Berlin,"The location of the accommodation in Berlin-Mitte is ideal for exploring Berlin. In the immediate vicinity of the apartment you will find many delicious restaurants. Here you are no further than 4 km from Kurfürstendamm and Friedrichstraße is no further away than 6 km. So you are centrally located to the City-West and City East. We are sure you will feel at home. If there are any issues, we are at your disposal 24/7.",341282198,Tim & Matteo,t,2.0,2.0,t,t,52.52888,13.34043,Entire rental unit,Entire home/apt,5,2.0,2.0,3.0,$180.00,1125,3,3,1125,1125,3.0,1125.0,,t,19,49,79,336,73,7,0,4.86,4.96,4.86,4.88,4.88,4.66,4.71,"First name and Last name: Michel Hauschild <br/> Contact address: Murellenweg 19, 14052, Berlin, Deutschland <br/>Listing address: Wiclefstraße 66, 10551, Berlin, Deutschland",f,2,2,0,0,1.32
29,29,568524485826835987,20241221052002,Numa | Large 1-Bedroom Apartment with Sofabed,"The 61-square-meter, freshly renovated apartments accomodate up to 6 people. They offer a king-sized bed, a double sofa bed, and one bunk bed for two people. Each apartment has a fully equipped kitchen, a dining table with chairs and a spacious bathroom with a shower.",371913052,Numa Kater,f,7.0,7.0,t,t,52.50367,13.446684,Entire serviced apartment,Entire home/apt,6,1.0,1.0,4.0,$145.00,365,1,5,999,999,2.1,999.0,,t,16,42,69,314,42,12,2,4.74,4.76,4.81,4.6,4.64,4.64,4.44,"Legal entity name and Legal form: COSI Berlin Friedrichshain GmbH <br/>Legal representatives or Trade register number: HRB 213405 B <br/> Entity address: Potsdamer Straße 68A, 10785, Berlin, Germany <br/>Listing address: Warschauerstraße 46/47, 10243, Berlin, Germany",t,7,7,0,0,1.26
33,33,939185728575965294,20241221052002,Space + Hygge feeling 130 qm,We are hosting 8 Apartments in a house in Berlin Mitte/Gesundbrunnen - about 10 min to Alexanderplatz by subway (5 subway stations) All people are welcome - especially families who enjoy large apartments a hygge homestyle and a cozy atmosphere.  Coming together as friends and family - having a nice time and feeling comfortable - that's what we want for our guests.,492790133,Janosch,f,6.0,8.0,t,t,52.55396,13.37901,Entire rental unit,Entire home/apt,8,1.0,2.0,4.0,$297.00,365,1,2,365,365,2.0,365.0,,t,14,38,68,301,5,0,0,5.0,5.0,5.0,5.0,5.0,4.6,4.8,"First name and Last name: Nicola Aleff <br/> Contact address: Badstraße44, 13357, Berlin, Deutschland <br/>Listing address: Badstraße44, 13357, Berlin, Deutschland",f,6,6,0,0,0.29
50,50,21038831,20241221052002,Vintage Vibes: Spacious 4-Room Apartment in Mitte,"Escape the city bustle and experience the quiet and serenity of this minimal home in Berlin Mitte:<br />- Peaceful 4-room apartment with 3 bedrooms and a balcony<br />- Finished in a serene monochromatic beige palette<br />- Furnished with curated furniture that have a story to tell<br />- In Scheunenviertel, Berlin's most charismatic neighborhood<br />- 3-minute-walk to two U-Bahn stations (U2 and U5)<br />- Steps away from Hackescher Markt and Museum Island",12360,Michael,t,21.0,21.0,t,t,52.52431,13.40961,Entire rental unit,Entire home/apt,6,1.0,3.0,3.0,$114.00,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,95,4,0,0,4.75,5.0,4.5,4.75,5.0,5.0,4.5,,f,21,21,0,0,0.05
52,52,26343916,20241221052002,Urban Paradise with big terrace/next to Mauerpark,With us you are in the middle of beautiful Prenzlauer Berg.<br />An Aldi is right behind the house and a large shopping center/Denns/Allnatura/DM... at nearby Schönhauser Allee or Gesundbrunnen. The Mauerpark ends behind our house with several playgrounds and a petting zoo. The Mauerpark also hosts the all Sunday flea market. There are several flea markets in the area. In the neighborhood there pop up pubs and restaurants ;),7458512,Katja,f,1.0,1.0,t,t,52.54817,13.40361,Entire rental unit,Entire home/apt,6,2.5,3.0,5.0,$250.00,60,7,7,60,60,7.0,60.0,,t,0,0,0,158,9,3,0,4.89,4.89,5.0,4.67,4.89,5.0,4.67,03/Z/AZ/007554-22,f,1,1,0,0,0.24
54,54,20448471,20241221052002,Private apartment close to nature and culture,"Dear guests,<br /><br />My brother and I share a 2 bedroom apartment and we’re out of town quite often. The apartment comfortably accommodates 4 adults. The 5th person can sleep on the couch in the living room. You'll have access to my brothers small bedroom, my big bedroom, and the livingroom as well as the kitchen and the bathroom.<br /><br />Please note that parties are not allowed at this place. Respecting the neighbors is also very important to me. <br /><br />Best,<br />Barbara",14693512,Barbara,f,2.0,2.0,t,t,52.55144,13.34198,Entire rental unit,Entire home/apt,5,,2.0,,,1125,92,92,1125,1125,92.0,1125.0,,t,0,0,0,0,23,0,0,4.87,4.91,4.96,4.91,5.0,4.61,4.87,,f,2,1,1,0,0.26
59,59,1072585204593781257,20241221052002,4 Zimmer-Apartment am Kurfürstendamm City Center,"Centrally located in Berlin-Charlottenburg, in prime location in West Berlin, side street from the famous Kurfürstendamm.<br />Nearby there is everything you need, opposite you have a variety of coffee's, nearby many are exclusive boutiques and a few stops by bus you can reach the well-known KADEWE SHOPPING house.",54039179,Lana,f,14.0,14.0,t,t,52.50102058129975,13.304937157069734,Entire rental unit,Entire home/apt,8,2.0,3.0,8.0,$243.00,365,1,3,365,365,1.9,365.0,,t,27,51,71,86,5,5,1,3.6,4.4,4.0,4.2,4.4,5.0,4.0,"Legal entity name and Legal form: Berlin-Stay GmbH <br/>Legal representatives or Trade register number: HRB 197418 B <br/> Entity address: Torstrasse , 10115, Berlin, Brd <br/>Listing address: Wilmersdorfer Strasse 76, 10627 , Berlin, Brd",t,13,13,0,0,0.61
64,64,912184631493246609,20241221052002,"Blueground | Prenzlauer Berg, nr Wasserturm","Discover the best of Berlin, with this three bedroom apartment in Prenzlauer Berg. . It’ll be easy to simply show up and start living in this modernly Blueground furnished apartment with its fully-equipped kitchen, lovely living room, and our dedicated, on-the-ground support. (ID #BER172)",434485440,Blueground,f,322.0,325.0,t,t,52.5347581,13.4258536,Entire rental unit,Entire home/apt,6,1.5,3.0,3.0,$177.00,1125,92,334,1125,1125,96.4,1125.0,,t,0,0,0,264,0,0,0,,,,,,,,"Legal entity name and Legal form: BLUEGROUND GERMANY GmbH <br/>Legal representatives or Trade register number: HRB 232347 B <br/> Entity address: Stresemannstraße 123, 10963, Berlin, Germany <br/>Listing address: Winsstraße 53, 10405, Berlin, Germany",t,318,318,0,0,
88,88,31500359,20241221052002,"Appartement ""Hibiskus""","Exclusive living, 4 rooms, up to 14 people, luxuriously furnished holiday apartment ""Hibiscus""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44817,13.38651,Entire rental unit,Entire home/apt,14,2.0,3.0,11.0,$190.00,1125,1,4,22,1125,1.3,1092.7,,t,27,57,87,357,31,8,1,4.35,4.58,4.71,4.65,4.61,4.19,4.29,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, Berlin, Deutschland",t,15,15,0,0,0.44
91,91,1101465952016111173,20241221052002,3 Rooms Apt. City Center Fischerinsel Mitte 6 Pers,"Spacious 3-room apartment in the heart of Berlin-Mitte on the fishing island with space for up to 6 people. Just a few steps from the U2 metro line and located in the immediate vicinity of Alexanderplatz, this apartment offers comfort and convenience for larger groups. Bright and welcoming spaces provide a pleasant ambiance, while modern amenities enrich your stay. Discover Berlin from this central location.",563418004,Ruslan,t,8.0,8.0,t,t,52.51246,13.40172,Entire rental unit,Entire home/apt,6,1.0,3.0,6.0,$245.00,365,1,3,1125,1125,2.6,1125.0,,t,20,42,69,153,23,23,0,4.96,4.83,4.96,4.96,4.91,4.96,4.83,"Legal entity name and Legal form: Korotianskiy Ruslan UG (Haftungsbeschränkung) <br/>Legal representatives or Trade register number: HRB 258084 <br/> Entity address: Torstraße 156, 10115, Berlin , Berlin  <br/>Listing address: Scharrenstraße 16A, 10178, Berlin , Berlin ",f,8,8,0,0,2.46
94,94,777241634873454671,20241221052002,Penthouse Apartment in Berlin,"Located in a beautiful development of a listed monument, this apartment has been purpose built to cater for two or three co-living couple with two large bedroom, ample closet space, two luxurious bathrooms and an extra storage space which can also be used as a third bedroom or office.<br />The apartment stands out due to its uniquely designed interior concept which is state of the art and kitted out to a high standard. It comes fully equipped and provides all necessary amenities including internet.",25181498,Carsten,f,3.0,5.0,t,t,52.5296122,13.4062557,Entire rental unit,Entire home/apt,6,2.0,3.0,3.0,$130.00,365,96,96,365,365,96.0,365.0,,t,30,60,90,365,0,0,0,,,,,,,,,t,3,3,0,0,
96,96,975500812751010040,20241221052002,#N25 - Nice Apartment Rummelsburg,"apartment with integrated cozy bed room and big platform like a huge bunk bed. perfect for families, kids, teens and young city travellers. Kitchen, washing machine, toilet, shower, dining table, tv, free wifi. with very good connection to public transport. your are within 5min. in the city center or can have a walk to the lovely Rummelsburg bay with water, nature and boats.",2293972,Philipp,f,15.0,37.0,t,t,52.50160883066239,13.482405820287706,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,$119.00,365,1,4,365,365,1.4,365.0,,t,26,56,66,66,27,21,0,4.56,4.7,4.52,4.85,4.78,4.81,4.48,"Legal entity name and Legal form: Cityflair Berlin <br/>Legal representatives or Trade register number: Cityflair Berlin <br/> Entity address: Frankfurter Allee 26A, 10247, Berlin, Deutschland <br/>Listing address: Nöldnerstraße 25, 10317, Berlin, Deutschland",f,15,8,7,0,1.76
100,100,22694360,20241221052002,"House with garden, pool and sauna for families","Welcome to Berlin! Since we're traveling ourself, we're renting out our beautiful house at the park. On 250 sqm, the house with garden & balcony offers a wonderful retreat for the whole family. All of the rooms, including a living room with kitchen, 4 bedrooms & study, have a lovingly & high-quality furnishing. <br />Our new amenities include a pool, a sauna and a garden shower as well as sport equipment to play with in the garden.",167319423,Jens,f,2.0,2.0,t,t,52.44554,13.32002,Entire home,Entire home/apt,7,2.5,4.0,7.0,$299.00,1125,4,4,1125,1125,4.0,1125.0,,t,0,0,0,111,3,0,0,4.67,4.33,3.67,5.0,5.0,4.67,4.67,06/Z/RA/002587-18,f,2,1,1,0,0.04
102,102,40610629,20241221052002,"Stylish City Loft, 3 rooms, 2 bath, 1 mezzanine","With great attention to detail, this 65 sqm loft was designed in light wood and modern design ideas and welcomes you on th ground floor with 1 living room incl. kitchen, dining area, chill area and smart TV, 2 bedrooms, 1 separable mezzanine with more sleeping space, 2 bathrooms. And all of this in a prime Friedrichshain location directly between the busy Boxhagener Straße and the central Frankfurter Allee, with the quiet green Traveplatz including a children's playground right outside the door",312525221,Andre,f,3.0,3.0,t,t,52.50855,13.47021,Entire rental unit,Entire home/apt,7,2.0,2.0,4.0,$118.00,365,2,3,365,365,3.0,365.0,,t,18,39,47,304,109,32,2,4.67,4.7,4.69,4.88,4.86,4.81,4.59,"First name and Last name: Andre Motzkus <br/> Contact address: Blücherstr. 18, 10961, Berlin, Deutschland <br/>Listing address: Jessnerstr 62, 10247, Berlin, Deutschland",t,3,3,0,0,1.78
105,105,13717143,20241221052002,central-4 bedrooms-sunny terrace-for families,"Sunny apartment at the top floor with 4 rooms to spleep in. In the eastern centre of Berlin nearby Ostkreuz & the Rummelsburger Sea: 10min to Friedrichshain/East Side Gallery, 15min to Alexanderplatz/Friedrichstraße, 20min to Potsdamer Platz.<br /><br />Four seperate bedrooms available<br /><br />- bedroom: double bed 180x200<br />- children's room: 2 single beds 90x200<br />- atelier: single matrace<br />- big living room: sofa bed 160x180<br />- child travel bed if needed<br /><br />- bathroom with window, shower & bathtub<br />- big sunny balkony",46755090,Judith,f,1.0,1.0,t,t,52.50227,13.48134,Entire rental unit,Entire home/apt,7,1.0,3.0,4.0,$180.00,1125,2,92,1125,1125,84.9,1125.0,,t,7,26,26,26,31,7,0,4.97,4.94,4.97,4.97,5.0,4.74,4.87,11/Z/AZ/003070-24,f,1,1,0,0,0.3
112,112,16237757,20241221052002,Interior Design 3 - Bedroom Apartment with Balcony,"Explore our passion for modern interior design & enjoy an unforgettable living experience in this completely refurbished 1903 factory building. Feel home from first second on & enjoy a highest level of comfort in an urban, authentic environment.<br /><br />This 3 - bedroom apartment is about 110sqm in size and can accommodate up to 11 people",3003519,Simon,t,31.0,33.0,t,t,52.533,13.32688,Entire serviced apartment,Entire home/apt,11,1.0,3.0,4.0,$293.00,1125,1,2,1125,1125,1.9,1125.0,,t,7,19,45,289,268,16,5,4.91,4.94,4.94,4.97,4.96,4.43,4.82,"Legal entity name and Legal form: BENSIMON apartments GmbH <br/>Legal representatives or Trade register number: HRB 193352 B <br/> Entity address: Sickingenstraße 4, 10553, Berlin, Deutschland <br/>Listing address: Sickingenstraße 4, 10553, Berlin, Deutschland",t,31,31,0,0,2.74
114,114,40414534,20241221052002,"*NEW* Daylight-flooded design loft, city center","Live in a daylight-flooded design loft with its own entrance from street-level consisting of 1 living room, 2 bedrooms, 1 mezzanine with sleeping option, 2 bathrooms, 2 smart TVs. The 55 sqm apartment was designed with great attention to detail in light wood and modern design ideas and is located in a prime city location directly between the lively Boxhagener Street & the central Frankfurter Allee, with the quiet, green Traveplatz including a children's playground right in front of the door",312525221,Andre,f,3.0,3.0,t,t,52.50889,13.47056,Entire rental unit,Entire home/apt,6,2.0,2.0,3.0,$138.00,365,3,3,365,365,3.0,365.0,,t,17,38,54,309,87,23,0,4.7,4.86,4.7,4.9,4.89,4.85,4.66,"First name and Last name: Andre Motzkus <br/> Contact address: Blücherstr. 18, 10961, Berlin, Deutschland <br/>Listing address: Jessnerstr 62, 10245 , Berlin, Deutschland",t,3,3,0,0,1.43
118,118,27164026,20241221052002,Ladenwohnung in Kreuzberg mit Parkplatz in Garage,The apartment is a converted former plumber shop in Kreuzberg,183372921,Hardy,t,2.0,2.0,t,t,52.49402,13.42914,Entire rental unit,Entire home/apt,5,1.5,1.0,4.0,$151.00,50,1,6,50,50,1.0,50.0,,t,23,53,83,221,455,58,2,4.93,4.93,4.88,4.96,4.94,4.93,4.76,"First name and Last name: Thomas Kappel  <br/> Contact address: Urbanstrasse 96, 10967, Berlin , Berlin  <br/>Listing address: Ohlauer Straße 31, 10999, Berlin , Berlin ",f,2,2,0,0,6.04
125,125,28218006,20241221052002,Rooms in nice house-Excellent connection to centre,"Green and quiet location near the city!  By car/train in just 15 minutes to the City West centre. Train station and bus stop 5 minutes on foot. Sleeps 5-6 people. Balcony overlooking the garden. Waldbühne, Olympiastadion, forest, riverside with beach and supermarket are within walking distance, as well as bars and restaurants.<br />In just a few stops you can reach the most famous sights such as the Kurfürstendamm, the Brandenburg Gate, the Reichstag, Checkpoint Charlie, among others.",49840372,Ana,f,1.0,4.0,t,t,52.51082,13.22754,Private room in home,Private room,5,1.5,2.0,4.0,$170.00,60,4,4,60,60,4.0,60.0,,t,0,0,0,15,14,1,0,4.0,4.21,4.21,4.57,4.36,4.93,4.0,04/Z/AZ/013430-23,f,1,0,1,0,0.2
132,132,988865069359139315,20241221052002,Grüne Oase Nähe Stadtzentrum,"The turn of the century house convinces with a large garden, plenty of space in the house (145 sqm) and only 15 minutes (car) to the city center (Alexanderplatz). Within walking distance, the M5 tram line takes you to the main train station. The perfect place to explore the hustle and bustle of Berlin and end the evening comfortably  in the countryside. There are 2 terraces and a fire pit in the garden!<br /><br />In front of the door 2 lakes invite you to swim and jog!",65023990,Beatrix,f,1.0,1.0,t,t,52.5453396,13.4909282,Entire home,Entire home/apt,7,2.0,2.0,4.0,$250.00,8,3,3,8,8,3.0,8.0,,t,0,0,0,19,2,2,0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,11/Z/RA/002998-23,f,1,1,0,0,0.29
150,150,9536912,20241221052002,Premium Loft-Apartment (150sqm) with Terrace,The BENSIMON apartments Berlin Mitte (Moabit): <br /><br />In the heart of Berlin you will find this modern furnished 4 bedroom apartment (150sqm) by BENSIMON apartments. Located in Berlin-Moabit which is a district of Berlin-Mitte the City-West and the Center Berlin accessible easily. The apartment can accommodate up to 14 people. <br /><br />The check in takes place online and is contactless.,3003519,Simon,t,31.0,33.0,t,t,52.53292,13.32682,Entire rental unit,Entire home/apt,14,1.5,4.0,5.0,$295.00,1125,1,2,1125,1125,1.9,1125.0,,t,10,30,48,259,468,55,5,4.92,4.92,4.96,4.95,4.97,4.47,4.79,"Legal entity name and Legal form: BENSIMON apartments GmbH <br/>Legal representatives or Trade register number: HRB 193352 B <br/> Entity address: Sickingenstrasse 4, 10553, Berlin, Deutschland <br/>Listing address: Sickingenstrasse 4, 10553, Berlin, Deutschland",t,31,31,0,0,4.79
161,161,1440278,20241221052002,TownHouse with amazing view and roof top terrace!,The calm and decent located spacious TownHouse with 180sqm has three bedrooms with 20-25sqm.<br />The 35sqm roof top terrace invites you to chill with an extraordinary view over the Rummelsburger lake.<br />The outside and entrance area of the property is equipped with a surveillance system camera.<br />The maximum capacity of guests is limited to 6 persons.<br />After the 2nd person there is an additional fee of 39€ per person and per night.,2486507,Adnan,t,1.0,1.0,t,t,52.49822,13.47007,Entire townhouse,Entire home/apt,6,2.0,3.0,3.0,$413.00,1125,2,2,1125,1125,2.0,1125.0,,t,29,59,89,358,108,12,1,4.82,4.79,4.87,4.87,4.82,4.67,4.61,02/Z/RA/007784-18,f,1,1,0,0,1.12
163,163,1312146866258567317,20241221052002,time4staying 3 SZ Luxus-Maisonette nahe Kudamm,"Stylish maisonette holiday apartment on Pfalzburger Strasse, near Hohenzollerndamm in Berlin-Wilmersdorf! With 4 rooms and 8 beds, it offers space for families and groups. Highlights: modern kitchen, luxurious bathroom with marble, underfloor heating on the upper floor and a converted basement. Perfect location: close to Kurfürstendamm, top transport links, diverse restaurants, shopping and the Volkspark Wilmersdorf for relaxation. Ideal for an unforgettable stay in Berlin!",580322547,Florian,f,4.0,4.0,t,t,52.49096058377448,13.321221795770247,Entire rental unit,Entire home/apt,8,1.0,3.0,5.0,$233.00,365,1,5,365,365,4.3,365.0,,t,26,56,86,361,0,0,0,,,,,,,,,t,4,4,0,0,
164,164,31890149,20241221052002,Pandoras home - city west - 75 qm,"The apartment is centrally located on the heart of the old city of Berlin-West with quick access to many city attractions (subway in 300 meters). The apartment is on the ground floor and has a separate entrance . The apartment was completely newly expanded / renovated in June 2018 and thus meets the current state of the art - with flat screen TVs in all rooms, internet access via Wi-Fi is of course mandatory. The apartment has 4 and 2 beds each in the two bedrooms.",239040287,Joachim,f,1.0,1.0,t,t,52.46817,13.32625,Entire rental unit,Entire home/apt,6,1.0,2.0,6.0,$179.00,20,3,3,20,20,3.0,20.0,,t,12,34,59,252,14,6,0,5.0,5.0,4.86,5.0,5.0,4.86,4.79,07/Z/AZ/011755-21,f,1,1,0,0,0.21
166,166,51416370,20241221052002,"Modern City Apt, New and Exclusive, Fast Wifi, TV","This newly renovated 3-room apartment is perfect for up to 6 people and is characterized by its good facilities.<br /><br />→ 2 rooms with 4 big beds ( 160*200 + 2x 140*200 + 120*200)<br />→ sofa bed in the living room<br />→ Modern bathroom with walkin shower<br />→ Kitchen with fridge and freezer, stove, oven and dishwasher<br />→ coffee machine with pods!<br />→ Smart TV, Netflix & high-speed WiFi<br />→ Free on-street parking",416193979,Christian,f,1.0,1.0,t,t,52.483467,13.528755,Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,$229.00,1125,2,2,1125,1125,2.0,1125.0,,t,0,0,0,142,37,0,0,4.68,4.7,4.35,4.84,4.89,4.73,4.57,11/Z/AZ/002574-22,f,1,1,0,0,0.96
168,168,18524158,20241221052002,Romantic Style Apartment Berlin nähe S-Bahnhof,"Space for up to 7 persons in the spacious 65 m² apartment. The furnishings in the romantic style, as well as an interesting environment and the very good transport connections, also make a longer stay an experience.",2569632,Jürgen,f,8.0,8.0,t,t,52.45629,13.58236,Entire rental unit,Entire home/apt,7,1.0,2.0,4.0,$151.00,1125,3,4,333,1125,3.0,997.8,,t,30,53,76,339,78,1,0,4.76,4.87,4.83,4.86,4.85,4.67,4.54,"First name and Last name: victoria pupescu <br/> Contact address: parrisiusstr 21, 12555, berlin, berlin <br/>Listing address: parrisiusstr 21, 12555, berlin, berlin",t,4,4,0,0,0.85
169,169,839785100464723034,20241221052002,Apartment near the lake in the Down Town Motel,,12214221,Paul,f,2.0,7.0,t,t,52.413350486558166,13.661477587798757,Entire rental unit,Entire home/apt,6,1.0,2.0,5.0,$175.00,1125,2,2,365,365,2.0,365.0,,t,0,0,21,282,29,19,0,4.86,4.97,4.72,4.93,4.86,4.72,4.86,"Legal entity name and Legal form: Werbelow Miet &amp; Pacht UG (haftungsbeschränkt) <br/>Legal representatives or Trade register number: Peter Paul Werbelow <br/> Entity address: Müggelheimer Damm 273, 12559, Berlin, Berlin <br/>Listing address: Müggelheimer Damm 273, 12559, Berlin, Berlin",t,2,1,1,0,1.35
173,173,23071933,20241221052002,Small but nice Apartment,"The apartment is located in the center, it is a 10-minute tram to Alexanderplatz. The apartment is very quiet despite the trendy district.<br />Gastronomy and shopping are very close. Surrounded by old Berlin flair.<br />About 5 minutes away is a swimming pool and sauna.<br />The trendy district of Berlin is about a 10-minute walk.<br />The largest schnitzel in Berlin and real Berlin food is in the house. Now new 6 people (with extra bed).",171289244,Reno,f,2.0,2.0,t,t,52.52655,13.45275,Entire rental unit,Entire home/apt,6,1.0,2.0,4.0,$70.00,101,1,1,1125,1125,1.0,1125.0,,t,13,29,43,209,506,99,5,4.3,4.55,4.38,4.78,4.62,4.59,4.4,"First name and Last name: Michael Lobach <br/> Contact address: Hohensaatener Str. 19, 12679, Berlin , Deutschland  <br/>Listing address: Ebertystr.10 ptr. links Vorderhaus, 10249, Berlin , Deutschland",t,1,1,0,0,6.12
176,176,1273730233920853545,20241221052002,Berlin Dream,"Welcome to the dream holiday home ""Berlin Dream"" in Bohnsdorf! This spacious over 100 m2 cottage, is equipped for up to six guests (5 adults and one toddler). Enjoy a fully equipped kitchen, an elegant bathroom, fireplace, the outdoor pool measuring about 6 x 3 meters (season, from July to the end of August), the cozy terrace or the outdoor fire bowl. Just minutes from BER airport. Book the ultimate Berlin Dream getaway now.",215694095,Krenar,f,1.0,1.0,t,t,52.39048570788454,13.562006168067455,Entire home,Entire home/apt,6,1.0,2.0,3.0,$210.00,365,1,1,365,365,1.0,365.0,,t,20,50,60,60,3,3,1,5.0,5.0,5.0,5.0,5.0,5.0,4.67,"First name and Last name: K. Richter <br/> Contact address: Schirmpilzstr., 12526, Berlin, DE <br/>Listing address: Schirmpilzstr. 414, 12526, Berlin, DE",f,1,1,0,0,2.37
194,194,1289303037561947058,20241221052002,Staywell: Geräumige Wohnung am Schloss Bellevue,"Welcome to the heart of the capital at STAYWELL!<br /><br />Just a few steps from Bellevue Castle, you will experience Berlin at its best: centrally located, with perfect access to culture, shopping and restaurants. The apartment is bright, modern and has plenty of space to relax in. Ideal for families and big groups looking for a comfortable and stylish place. Discover Berlin from a home that leaves nothing to be desired!",651589805,Philipp,f,2.0,2.0,t,t,52.51982,13.35606,Entire rental unit,Entire home/apt,12,1.0,3.0,6.0,$308.00,365,1,5,1125,1125,4.6,1125.0,,t,15,32,60,60,3,3,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Legal entity name and Legal form: Staywell GmbH <br/>Legal representatives or Trade register number: HRB 266213 B <br/> Entity address: Cotheniusstraße 3, 10407, Berlin, Deutschland <br/>Listing address: Flemingstraße 11, 10557, Berlin, Deutschland",f,2,2,0,0,2.81
208,208,32453210,20241221052002,"Appartement ""Freesie""","Exclusive living, 4 rooms, up to 13 people, luxuriously furnished holiday apartment ""Freesie""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44955,13.38458,Entire rental unit,Entire home/apt,13,2.0,3.0,9.0,$190.00,365,1,4,22,1125,1.3,1097.6,,t,29,59,89,359,22,5,0,4.59,4.73,4.77,4.73,4.55,4.45,4.36,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, berlin, Deutschland",t,15,15,0,0,0.32
210,210,47051386,20241221052002,2 Room apartment in trendy Friedrichshain,"Beautiful, 70m2 apartment in an older building with stucco, wooden floors and high ceilings in the centre of the trendy and young neighbourhood of Friedrichshain. 5 min to the circle line metro and 15min from Alexanderplatz and Brandemburger Tor. An arty and young apartment to discover the vibrant Berlin. Restaurants, cafes, parks, stores and clubs in walking distance. Wifi, Linen, bath and hand towels, vegan soap and green electricity. A true Berlin stay.",18540104,Luna,f,2.0,2.0,t,t,52.51291,13.47145,Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,$120.00,152,2,2,1125,1125,2.0,1125.0,,t,21,40,66,314,51,17,1,4.55,4.78,4.45,4.84,4.82,4.71,4.39,"Legal entity name and Legal form: Esposito Schmidt GbR  <br/>Legal representatives or Trade register number: 46933572109 <br/> Entity address: Scharnweberstraße 54, 10247, Berlin , Germany <br/>Listing address: Müggelstr 9 , 10247, Berlin, Berlin",t,2,2,0,0,1.27
215,215,32453158,20241221052002,"Appartement ""Calla""","Exclusive living, 3 room, up to 9 persons, luxuriously furnished holiday apartment ""Calla""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44795,13.38458,Entire rental unit,Entire home/apt,9,1.0,2.0,6.0,$131.00,1125,1,4,22,1125,1.3,1107.6,,t,27,57,78,326,31,1,0,4.16,4.42,4.58,4.26,4.29,4.35,4.0,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, Berlin, Deutschland",t,15,15,0,0,0.44
