,Unnamed: 0,id,scrape_id,name,description,host_id,host_name,host_is_superhost,host_listings_count,host_total_listings_count,host_has_profile_pic,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,license,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
13005,13005,609002773348921385,20241221052002,Spacious Loft in the heart of Berlin!,"From this centrally located home, you'll be in all the important places in no time.",447386939,Luis,f,4.0,4.0,f,t,52.52421,13.41062,Entire rental unit,Entire home/apt,6,1.5,2.0,3.0,$170.00,1000,92,92,1000,1000,92.0,1000.0,,t,30,60,90,365,0,0,0,,,,,,,,,f,4,4,0,0,
13009,13009,31701521,20241221052002,"Appartement ""Enzian""","Exclusive living, 4 rooms, up to 12 people, luxuriously furnished holiday apartment ""Enzian""<br /><br />After your binding booking, you will receive an email from us with summarized information about the apartment.<br />Please note these.<br />In order to simplify your journey, we kindly ask you to contact us by phone about 2 hours before your arrival so that we can hand over the key to you.",1496069,Tim,f,15.0,15.0,t,t,52.44911,13.3864,Entire rental unit,Entire home/apt,12,2.0,3.0,9.0,$190.00,1125,1,4,22,1125,1.3,1097.6,,t,30,60,90,360,22,2,0,4.05,4.23,4.55,4.05,4.0,4.18,3.64,"Legal entity name and Legal form: PRIME Service GmbH <br/>Legal representatives or Trade register number: HRB 37328 P <br/> Entity address: Föhrenweg 1, 15831, Blankenfelde-Mahlow, Deutschland <br/>Listing address: Mariendorfer Damm 47, 12109, Berlin, Deutschland",t,15,15,0,0,0.32
13011,13011,22218048,20241221052002,Rockchair | SC 2 - Cozy Family Business 4 Br 2 Bth,"Give us a ❤ - save this apartment on your personal wish list!<br />Easy Check-in with access code - without key!<br />Box spring beds incl. bed linen, towels, shampoo, fully equipped kitchen, washing machine, dryer, high-speed WLAN, HD TV, high chair & baby cot ... and much more. Cleanliness & hygiene are very important to us. <br /><br />Professional or private? Family or colleagues? We will gladly issue an invoice with VAT.",155105708,Sören,,46.0,49.0,t,t,52.51126,13.28892,Entire rental unit,Entire home/apt,9,2.0,4.0,5.0,$224.00,1125,1,5,1125,1125,4.6,1125.0,,t,18,48,78,348,160,23,1,4.72,4.78,4.67,4.9,4.83,4.66,4.67,"Legal entity name and Legal form: Rockchair GmbH <br/>Legal representatives or Trade register number:  Sören Volger <br/> Entity address: Forckenbeckstr. 64, 14199 , Berlin , Deutschland <br/>Listing address: Sophie-Charlotten-Str. 53/54, 1.OG re,  14059 ,  Berlin,  Deutschland ",f,23,23,0,0,1.88
13016,13016,1204484035593900651,20241221052002,2 X Loft Art Design 3 BR Factory,"In a quiet backyard between the hip Kreuzberg and Mitte, you will find relaxation in our stylish loft. Enjoy the central location and explore Berlin's food & lifestyle scene easily on foot. Furnished with high quality vintage design classics and comfortable amenities (Bruno Ray ,De Sede, Lehni, Zieta, B&B Italia, Moroso, Tapioviaara, Artemide and contemporary art by renowned German artists, your stay becomes a unique experience.",550988600,Darius,f,5.0,5.0,t,t,52.50146740151795,13.412894903143783,Entire rental unit,Entire home/apt,6,3.0,3.0,3.0,$203.00,365,2,5,365,365,5.0,365.0,,t,19,49,79,354,8,8,1,4.63,4.5,4.88,5.0,5.0,4.5,4.25,"Legal entity name and Legal form: MAD Flat GmbH <br/>Legal representatives or Trade register number: D Suski  <br/> Entity address: AM Zirkus 6, 10117, Berlin, Berlin <br/>Listing address: Ritterstr, 10969, Berlin, Berlin",t,5,5,0,0,2.02
13017,13017,597530852602630808,20241221052002,Two big Apartments  in the heart of Berlin,"If you stay at this centrally located home, your family has all the important points of contact nearby.",447386939,Luis,f,4.0,4.0,f,t,52.52604,13.41038,Entire rental unit,Entire home/apt,12,2.5,4.0,6.0,$350.00,365,100,100,365,365,100.0,365.0,,t,30,60,90,365,0,0,0,,,,,,,,,f,4,4,0,0,
13022,13022,1093554465663260250,20241221052002,URBAN FLATS Berlin | Flat No. 105 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.52436,13.40052,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,$227.00,365,1,2,1125,1125,2.0,1125.0,,t,17,30,45,50,46,46,4,4.87,4.98,4.85,4.91,4.85,4.91,4.91,"First name and Last name: URBAN FLATS Berlin <br/> Contact address: Rinbahnstr. 2-14, 12051, Berlin, Deutschland <br/>Listing address: Oranienburger Str. 11, 10178, Berlin, Deutschland",t,44,44,0,0,5.13
13026,13026,942693341955579742,20241221052002,Beauty City Center 3Rms Flat Mitte,"2024 SAISON OPEN NOW BOOK NOW EARLY BIRD DISCOUNT <br />Fantastic 3 room bright apartment directly in the best historical location in Berlin Mitte, only at 200 meters from Rosenthaler Platz. From this centrally located accommodation you are in fast in all important places. Most major attractions can be reached in a few minutes' walk. Many restaurants, coffee shops and green parks are a few minutes' walk away. Supermarket 300 meters , metro 200 meters",54039179,Lana,f,14.0,14.0,t,t,52.52799,13.39631,Entire rental unit,Entire home/apt,7,1.0,2.0,6.0,$233.00,365,1,3,1125,1125,1.6,1125.0,,t,27,57,87,104,25,20,2,4.32,4.48,4.24,4.72,4.48,4.84,4.36,"Legal entity name and Legal form: Berlin-Stay GmbH <br/>Legal representatives or Trade register number: HRB 197418 B <br/> Entity address: Torstrasse , 10115, Berlin, Berlin <br/>Listing address: Torstrasse , 10115, Berlin, Berlin",f,13,13,0,0,1.55
13036,13036,812449,20241221052002,Big Apartment at the Park in Mitte,,4271173,Christian,t,2.0,2.0,t,t,52.53501,13.40262,Entire home,Entire home/apt,5,,3.0,,,22,7,7,22,22,7.0,22.0,,t,0,0,0,0,29,4,0,4.89,4.66,4.59,4.72,4.83,4.97,4.83,"First name and Last name: Christian Tenambergen <br/> Contact address: Fehrbelliner Straße 25, 10119, Berlin, Germany <br/>Listing address: Fehrbelliner Str. 25, 10119, Berlin, Germany",f,1,1,0,0,0.2
13039,13039,44472065,20241221052002,"4-Bedroom Apartment (130qm), 2 Bathrooms & Balcony","BENSIMON apartments Berlin Wedding: <br /><br />This location is ideal to enjoy the untroubled charm of Berlin, it lets you experience the multicultural flair of the lively Sprengelkiez. Numerous late shops, great bars and a diverse gastronomic selection will bring you closer to Berlin and our Wedding district. The historic center of Berlin and the city’s whole diversity is easily accessible from S & U-Bahn Wedding.",3003519,Simon,t,31.0,33.0,t,t,52.541718,13.363287,Entire serviced apartment,Entire home/apt,14,2.0,4.0,6.0,$339.00,1125,1,2,1125,1125,1.9,1125.0,,t,7,20,34,230,188,53,6,4.95,4.97,4.96,4.96,4.95,4.6,4.85,"Legal entity name and Legal form: BENSIMON apartments GmbH <br/>Legal representatives or Trade register number: HRB 193352 B <br/> Entity address: Sickingenstrasse 4, 10553, Berlin, Deutschland <br/>Listing address: Lynarstr 4, 13353, Berlin, Deutschland",t,31,31,0,0,4.19
13043,13043,1093549575666437867,20241221052002,URBAN FLATS Berlin | Flat No. 305 | City Center,"Welcome to URBAN FLATS Berlin!<br /><br />Experience the capital in our modern and cozy apartment in the heart of Berlin Mitte. Our apartments are in the best location to explore the famous sights such as the Brandenburg Gate, Alexanderplatz and the beautiful Museum Island. Many authentic restaurants and shops can be found right outside the door. The connection with the public transportation is optimal.",546288100,Douglas,f,44.0,46.0,t,t,52.524861396879814,13.398442297312457,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,$213.00,365,1,2,1125,1125,2.0,1125.0,,t,24,54,84,94,21,21,1,4.67,4.81,4.71,4.71,4.67,4.81,4.57,"First name and Last name: URBAN FLATS Berlin <br/> Contact address: Rinbahnstr. 2-14, 12051, Berlin, Deutschland <br/>Listing address: Oranienburger Str. 11, 10178, Berlin, Deutschland",t,44,44,0,0,2.37
